dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,pitch_type,pitch_id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
2017-04-07,170407_002229hou,0a931d62-12e2-4fb9-b2ff-09dfdd551ecf,6,1,664641,543807,5,Home Run,B,38,3.9611,1.93801,6.1876,10.5233,FF,19,0.856,R,0,0,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,149.575,-1.08779,1,sea,0.07666821236504766,-129.35233735237819,0.3086538920745674,6.7008325784929355,11.000371853418763,6.1876,10.5233,1.7550111362006353,55,6.532892350051115,-2.9783688495463134,-132.5785925448279,-7.981929300344492,11.72287141418457,28.168534088134766,-12.934235527038574,90.58,1.5443087965382278,1.9968904054487366,1.59942,1.84921,0,00
2017-04-07,170407_002225_06,0a931d62-12e2-4fb9-b2ff-09dfdd551ecf,6,1,664641,543807,5,Home Run,B,38,3.65,1.7,6.1876,10.5233,FF,,2,R,0,0,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,149.575,-0.846966,1,sea,0.07666821236504766,-129.35233735237819,0.3086538920745674,6.7008325784929355,11.000371853418763,6.1876,10.5233,1.7550111362006353,55,6.532892350051115,-2.9783688495463134,-132.5785925448279,-7.981929300344492,11.72287141418457,28.168534088134766,-12.934235527038574,90.58,1.5443087965382278,1.9968904054487366,1.59942,1.84921,2341,00
2017-04-07,170407_002245hou,e765cd4a-e08c-4935-8b5c-208c44cec2da,6,2,664641,543807,5,Home Run,S,39,3.865,1.601,7.89514,10.058,FF,7,0.691,R,0,1,L,gid_2017_04_06_seamlb_houmlb_1/,Swinging Strike,141.896,0.0878726,1,sea,0.07574018244777227,-130.92083474342093,0.30512422430462904,8.373175408827278,10.52831107908285,7.89514,10.058,1.5574935283911784,55,6.492831012779443,-6.627901886684025,-134.23551537816337,-5.6272897699064455,14.989445320129395,29.2969539642334,-13.331485702514648,91.72,0.0964439476920127,2.973020615777111,0.146662,2.83247,0,10
2017-04-07,170407_002240_06,e765cd4a-e08c-4935-8b5c-208c44cec2da,6,2,664641,543807,5,Home Run,S,39,3.65,1.7,7.89514,10.058,FF,,2,R,0,1,L,gid_2017_04_06_seamlb_houmlb_1/,Swinging Strike,141.896,0.161509,1,sea,0.07574018244777227,-130.92083474342093,0.30512422430462904,8.373175408827278,10.52831107908285,7.89514,10.058,1.5574935283911784,55,6.492831012779443,-6.627901886684025,-134.23551537816337,-5.6272897699064455,14.989445320129395,29.2969539642334,-13.331485702514648,91.72,0.0964439476920127,2.973020615777111,0.146662,2.83247,2479,10
2017-04-07,170407_002302hou,2bc4d08a-b9cb-4c31-8bf3-880409bd9794,6,3,664641,543807,5,Home Run,B,40,3.9131,1.926,7.63864,11.3787,FF,21,0.892,R,1,1,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,146.155,-1.88104,1,sea,0.0745622878500199,-133.00934405333186,0.3001319976559128,8.102642360954256,11.814415658010804,7.63864,11.3787,1.6104246028273324,55,6.414454731001367,-7.891661130392783,-136.3160040133334,-10.552127387185985,14.991697898864746,29.68557815551758,-10.319692565917968,93.38,-0.3677372845035687,1.1982484125321609,-0.319285,1.05065,0,11
2017-04-07,170407_002258_06,2bc4d08a-b9cb-4c31-8bf3-880409bd9794,6,3,664641,543807,5,Home Run,B,40,3.65,1.7,7.63864,11.3787,FF,,2,R,1,1,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,146.155,-1.666,1,sea,0.0745622878500199,-133.00934405333186,0.3001319976559128,8.102642360954256,11.814415658010804,7.63864,11.3787,1.6104246028273324,55,6.414454731001367,-7.891661130392783,-136.3160040133334,-10.552127387185985,14.991697898864746,29.68557815551758,-10.319692565917968,93.38,-0.3677372845035687,1.1982484125321609,-0.319285,1.05065,2704,11
2017-04-07,170407_002321hou,69354c35-75f7-40c3-b125-1f9ff465ee2a,6,4,664641,543807,5,Home Run,S,41,3.865,1.601,7.07852,11.7205,FF,18,0.926,R,1,2,L,gid_2017_04_06_seamlb_houmlb_1/,Foul,148.9,-0.550984,1,sea,0.0743280033493659,-133.37763306813596,0.2998067475325799,7.548367742863148,12.150198410262773,7.07852,11.7205,1.5619119793901308,55,6.4820480836382925,-5.943210823797299,-136.84634049402226,-8.317805050324793,13.996485343933106,31.244263458251954,-9.64961619567871,93.56,0.30143643159386135,2.2505919357708812,0.353791,2.10929,0,21
2017-04-07,170407_002317_06,69354c35-75f7-40c3-b125-1f9ff465ee2a,6,4,664641,543807,5,Home Run,S,41,3.65,1.7,7.07852,11.7205,FF,,2,R,1,2,L,gid_2017_04_06_seamlb_houmlb_1/,Foul,148.9,-0.580219,1,sea,0.0743280033493659,-133.37763306813596,0.2998067475325799,7.548367742863148,12.150198410262773,7.07852,11.7205,1.5619119793901308,55,6.4820480836382925,-5.943210823797299,-136.84634049402226,-8.317805050324793,13.996485343933106,31.244263458251954,-9.64961619567871,93.56,0.30143643159386135,2.2505919357708812,0.353791,2.10929,2697,21
2017-04-07,170407_002353hou,6448ce00-59cf-4300-8f2d-d61b206b8fa8,6,5,664641,543807,5,Home Run,B,42,3.7451,1.86596,8.08671,7.69071,FT,20,0.876,R,2,2,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,133.584,-1.30853,1,sea,0.0732704820046217,-135.41540534402222,0.29421919205565306,8.525053391639915,8.153257593627815,8.08671,7.69071,1.3605570571947312,55,6.420830078065006,-9.225757323762702,-138.59873665436066,-8.313446244235857,16.413600555419922,29.07592658996582,-16.481231643676757,94.88,-1.026388558580122,1.721688787579736,-0.978071,1.57608,0,22
2017-04-07,170407_002348_06,6448ce00-59cf-4300-8f2d-d61b206b8fa8,6,5,664641,543807,5,Home Run,B,42,3.65,1.7,8.08671,7.69071,FF,,2,R,2,2,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,133.584,-1.1271,1,sea,0.0732704820046217,-135.41540534402222,0.29421919205565306,8.525053391639915,8.153257593627815,8.08671,7.69071,1.3605570571947312,55,6.420830078065006,-9.225757323762702,-138.59873665436066,-8.313446244235857,16.413600555419922,29.07592658996582,-16.481231643676757,94.88,-1.026388558580122,1.721688787579736,-0.978071,1.57608,2253,22
