Date,ARI,ATL,BAL,BOS,CHC,CIN,CLE,COL,CWS,DET,HOU,KCA,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDN,SEA,SFN,STL,TBA,TEX,TOR,WAS
8/29/17,LAD,,SEA,,PIT,NYM,,DET,,,TEX,TBA,OAK,,,STL,CWS,,CLE,,ATL,,SFN,,,,,,BOS,MIA
8/30/17,LAD,,SEA,,PIT,NYM,,DET,,,TEX,TBA,OAK,,,STL,CWS,,CLE,,ATL,,SFN,,,,,,BOS,MIA
8/31/17,LAD,,TOR,,ATL,NYM,,,,,TEX,,,,PHI,WAS,CWS,,BOS,,,,,,STL,,,,,
9/1/17,,,TOR,,ATL,,,ARI,TBA,CLE,NYM,,,,PHI,WAS,KCA,,BOS,,,CIN,LAD,OAK,STL,,,LAA,,
9/2/17,,,TOR,,ATL,,,ARI,TBA,CLE,NYM,,,,PHI,WAS,KCA,,BOS,,,CIN,LAD,OAK,STL,,,LAA,,
9/3/17,,,TOR,,ATL,,,ARI,TBA,CLE,NYM,,,,PHI,WAS,KCA,,BOS,,,CIN,LAD,OAK,STL,,,LAA,,
9/4/17,,TEX,NYY,TOR,,MIL,,SFN,CLE,KCA,,,,ARI,WAS,,,PHI,,LAA,,CHC,STL,HOU,,,MIN,,,
9/5/17,,TEX,NYY,TOR,,MIL,,SFN,CLE,KCA,,,,ARI,WAS,,,PHI,,LAA,,CHC,STL,HOU,,,MIN,,,
9/6/17,,TEX,NYY,TOR,,MIL,,SFN,CLE,KCA,,,,ARI,WAS,,,PHI,,LAA,,CHC,STL,HOU,,,MIN,,,
9/7/17,,MIA,,,,,,,CLE,,,MIN,,COL,,,,CIN,,,,CHC,STL,,,,,,,PHI
9/8/17,SDN,MIA,,TBA,MIL,,BAL,,SFN,,,MIN,,COL,,,,CIN,,HOU,,,,LAA,,PIT,,NYY,DET,PHI
9/9/17,SDN,MIA,,TBA,MIL,,BAL,,SFN,,,MIN,,COL,,,,CIN,,HOU,,,,LAA,,PIT,,NYY,DET,PHI
9/10/17,SDN,MIA,,TBA,MIL,,BAL,,SFN,,,MIN,,COL,,,,CIN,,HOU,,,,LAA,,PIT,,NYY,DET,PHI
9/11/17,COL,,,,,,DET,,,,,CWS,,,,PIT,,,,,,,,,LAD,,NYY,SEA,BAL,
9/12/17,COL,,,OAK,NYM,,DET,,,,,CWS,HOU,,,PIT,SDN,,,,MIA,,,,LAD,CIN,NYY,SEA,BAL,ATL
9/13/17,COL,,,OAK,NYM,,DET,,,,,CWS,HOU,,,PIT,SDN,,,,MIA,,,,LAD,CIN,NYY,SEA,BAL,ATL
9/14/17,COL,,,OAK,NYM,,KCA,,,CWS,,,HOU,,,,TOR,,BAL,,MIA,,,,,CIN,,SEA,,ATL
9/15/17,,NYM,,,STL,PIT,KCA,SDN,,CWS,SEA,,TEX,,MIL,,TOR,,BAL,,OAK,,,,ARI,,BOS,,,LAD
9/16/17,,NYM,,,STL,PIT,KCA,SDN,,CWS,SEA,,TEX,,MIL,,TOR,,BAL,,OAK,,,,ARI,,BOS,,,LAD
9/17/17,,NYM,,,STL,PIT,KCA,SDN,,CWS,SEA,,TEX,,MIL,,TOR,,BAL,,OAK,,,,ARI,,BOS,,,LAD
9/18/17,,,BOS,,,,,,,OAK,,,,,NYM,,,,MIN,,LAD,MIL,ARI,,,,,,,
9/19/17,,WAS,BOS,,,STL,,,,OAK,CWS,,CLE,,NYM,,,,MIN,,LAD,MIL,ARI,TEX,COL,,CHC,,KCA,
9/20/17,,WAS,BOS,,,STL,,,,OAK,CWS,,CLE,,NYM,,,,MIN,,LAD,MIL,ARI,TEX,COL,,CHC,,KCA,
9/21/17,,WAS,TBA,,,STL,,,,MIN,CWS,,CLE,,,CHC,,,,,LAD,,COL,TEX,,,,,KCA,
9/22/17,MIA,PHI,TBA,,,BOS,,,KCA,MIN,LAA,,,SFN,,CHC,,WAS,,TEX,,STL,COL,CLE,,,,,NYY,
9/23/17,MIA,PHI,TBA,,,BOS,,,KCA,MIN,LAA,,,SFN,,CHC,,WAS,,TEX,,STL,COL,CLE,,,,,NYY,
9/24/17,MIA,PHI,TBA,,,BOS,,,KCA,MIN,LAA,,,SFN,,CHC,,WAS,,TEX,,STL,COL,CLE,,,,,NYY,
9/25/17,SFN,,,TOR,,,,MIA,LAA,,,,,SDN,,,,ATL,,SEA,WAS,,,,,CHC,,HOU,,
9/26/17,SFN,,,TOR,,,MIN,MIA,LAA,,,DET,,SDN,,CIN,,ATL,TBA,SEA,WAS,BAL,,,,CHC,,HOU,,
9/27/17,SFN,,,TOR,,,MIN,MIA,LAA,,,DET,,SDN,,CIN,,ATL,TBA,SEA,WAS,BAL,,,,CHC,,HOU,,
9/28/17,,,,HOU,,,MIN,,LAA,,,DET,,,ATL,CIN,,,TBA,,,,,,,CHC,,OAK,,PIT
9/29/17,,,,HOU,CIN,,CWS,LAD,,,,ARI,SEA,,ATL,,DET,,TOR,,NYM,,,,SDN,MIL,BAL,OAK,,PIT
9/30/17,,,,HOU,CIN,,CWS,LAD,,,,ARI,SEA,,ATL,,DET,,TOR,,NYM,,,,SDN,MIL,BAL,OAK,,PIT
10/1/17,,,,HOU,CIN,,CWS,LAD,,,,ARI,SEA,,ATL,,DET,,TOR,,NYM,,,,SDN,MIL,BAL,OAK,,PIT
10/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
