Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Tony Gwynn,- - -,685,1798,7,192,98,80,0.090,0.165,0.072,0.287,0.238,0.309,0.31,0.279,73,13.3,-45.7,35.8,4.7,6141
Doug Mirabelli,- - -,508,1509,56,148,191,3,0.099,0.250,0.182,0.277,0.231,0.316,0.412,0.319,89,-8.5,-30.3,27.2,4.7,202
Ben Grieve,- - -,649,2399,69,285,293,18,0.127,0.220,0.164,0.319,0.262,0.363,0.426,0.347,108,-5.5,20.9,-54.8,4.7,1209
Geoff Blum,- - -,1344,4239,91,425,461,18,0.074,0.151,0.13,0.276,0.25,0.309,0.38,0.301,79,-5.3,-119.8,28,4.7,550
Juan Encarnacion,- - -,1076,4344,129,523,567,84,0.061,0.160,0.166,0.296,0.27,0.319,0.435,0.326,96,-7,-28.4,-69.1,4.6,320
Daniel Nava,- - -,509,1763,25,203,185,9,0.096,0.198,0.113,0.321,0.262,0.353,0.375,0.326,102,4.4,7.7,-23.2,4.6,5450
Fred Lewis,- - -,535,1763,27,261,136,53,0.096,0.221,0.137,0.337,0.266,0.344,0.403,0.331,100,10.2,11.3,-22.5,4.6,4693
Marcus Semien,- - -,399,1548,50,174,155,26,0.074,0.234,0.166,0.296,0.246,0.302,0.412,0.31,96,0.2,-7.5,0.3,4.6,12533
Ronny Paulino,- - -,573,2032,33,181,216,4,0.071,0.161,0.104,0.313,0.272,0.324,0.376,0.308,85,-17.1,-55.8,36.8,4.6,2129
Allen Craig,- - -,534,2013,59,239,296,11,0.071,0.196,0.158,0.32,0.276,0.333,0.435,0.336,113,-17.1,13.5,-31.5,4.6,3433
Benito Santiago,- - -,511,1955,47,186,243,12,0.054,0.153,0.143,0.299,0.271,0.312,0.415,0.312,87,-7.9,-42.7,24.3,4.5,1130
Brad Ausmus,- - -,1208,4296,39,396,359,39,0.090,0.141,0.081,0.28,0.244,0.319,0.326,0.289,69,-21.5,-193.6,97.1,4.5,546
Kosuke Fukudome,- - -,596,2276,42,264,195,29,0.135,0.177,0.136,0.303,0.258,0.359,0.395,0.336,102,-8.2,-3.6,-24.4,4.5,3263
Jose Lopez,- - -,1036,4089,92,421,480,25,0.037,0.115,0.134,0.276,0.262,0.292,0.395,0.298,82,-22.2,-112.8,19,4.5,3114
Dustan Mohr,- - -,504,1537,49,203,156,13,0.092,0.256,0.173,0.312,0.249,0.322,0.422,0.324,92,1.8,-13.3,5.9,4.4,744
Jake Lamb,Diamondbacks,295,1117,39,134,136,10,0.095,0.258,0.197,0.312,0.251,0.323,0.448,0.33,101,6.2,7.6,0,4.4,13329
Shane Halter,- - -,523,1744,41,168,174,11,0.071,0.200,0.148,0.29,0.247,0.305,0.396,0.305,85,-5.5,-38.6,22.9,4.4,468
Tony Batista,- - -,919,3606,162,442,535,33,0.055,0.156,0.201,0.246,0.244,0.29,0.445,0.312,86,-13,-79.1,0.3,4.4,124
Mark Grace,- - -,478,1677,36,197,224,4,0.134,0.065,0.148,0.271,0.273,0.372,0.421,0.346,103,-5.1,1.9,-11.7,4.4,56
Brock Holt,- - -,379,1469,13,184,122,25,0.080,0.184,0.101,0.33,0.272,0.332,0.373,0.312,93,13.4,0.9,-8.2,4.4,9345
Rick Ankiel,- - -,644,2104,76,260,251,21,0.077,0.262,0.183,0.297,0.241,0.303,0.424,0.315,92,4.4,-15.2,-8.7,4.4,1142
Jack Hannahan,- - -,614,1877,29,167,175,6,0.103,0.234,0.115,0.295,0.231,0.314,0.346,0.296,82,-6.8,-47.2,27.8,4.4,3692
Herbert Perry,- - -,400,1439,46,187,190,10,0.066,0.151,0.172,0.295,0.272,0.331,0.444,0.337,98,-5,-9.1,4,4.3,1270
David Dellucci,- - -,895,2658,94,358,329,36,0.103,0.218,0.19,0.291,0.249,0.336,0.439,0.336,99,4.9,1.3,-46.7,4.3,1402
Damian Jackson,- - -,656,1964,22,262,149,95,0.092,0.202,0.107,0.305,0.246,0.322,0.353,0.302,82,13.6,-31.3,10.1,4.3,471
Todd Pratt,- - -,409,1191,33,128,130,4,0.127,0.243,0.151,0.312,0.248,0.355,0.398,0.332,98,-7,-10,14.3,4.2,968
Brady Clark,- - -,785,2322,36,264,210,48,0.090,0.109,0.109,0.3,0.277,0.358,0.386,0.331,97,-11.7,-21.3,-12.5,4.2,1398
Josh Bard,- - -,586,1981,39,162,220,1,0.088,0.151,0.13,0.284,0.254,0.32,0.385,0.31,89,-19.1,-44.5,22,4.2,1578
Mitch Moreland,Rangers,773,2762,110,299,354,8,0.076,0.213,0.185,0.287,0.254,0.315,0.438,0.325,98,-8.4,-13.6,-37.8,4.2,3086
David Segui,- - -,343,1405,37,185,197,2,0.102,0.162,0.156,0.351,0.309,0.381,0.465,0.368,120,-3.3,33.1,-38.3,4.2,169
Garrett Jones,- - -,911,3228,122,347,400,28,0.082,0.211,0.194,0.284,0.251,0.312,0.445,0.327,106,-9.5,13.6,-73.1,4.1,2714
Everth Cabrera,- - -,510,2068,12,228,132,138,0.085,0.209,0.081,0.314,0.246,0.315,0.328,0.288,83,17.5,-23.7,-0.7,4.1,8155
Emil Brown,- - -,654,2341,57,278,317,47,0.079,0.180,0.143,0.3,0.263,0.326,0.406,0.32,91,-0.7,-28.5,-9.2,4.1,1197
Scooter Gennett,Brewers,456,1637,35,184,160,17,0.050,0.178,0.141,0.324,0.279,0.318,0.42,0.319,97,0.7,-5.5,-6.6,4.1,10339
Matt Adams,Cardinals,455,1486,55,160,210,4,0.060,0.229,0.185,0.319,0.27,0.314,0.455,0.332,111,-5,13.4,-20.3,4.1,9393
Ryan Langerhans,- - -,597,1474,33,177,125,11,0.130,0.263,0.145,0.298,0.226,0.333,0.371,0.312,88,3.9,-19.6,12.2,4.1,98
Alex Ochoa,- - -,388,1193,29,163,141,36,0.093,0.116,0.164,0.299,0.281,0.352,0.445,0.346,101,-5.6,-3,6.1,4.1,700
Chris Singleton,- - -,571,1909,28,254,204,61,0.057,0.156,0.127,0.303,0.265,0.308,0.392,0.304,80,6.3,-42.6,17.1,4.1,170
Dan Wilson,Mariners,538,1829,27,167,191,5,0.055,0.175,0.099,0.301,0.258,0.3,0.357,0.289,75,-6.5,-64.8,42.6,4.1,1102
Shane Spencer,- - -,440,1568,41,165,195,13,0.082,0.188,0.149,0.299,0.261,0.325,0.41,0.321,92,5,-10.5,-2.6,4.1,848
Freddy Galvis,Phillies,480,1777,40,165,172,29,0.047,0.193,0.127,0.281,0.241,0.279,0.369,0.28,73,5.5,-52.1,35.9,4,6609
Endy Chavez,- - -,1151,3436,30,385,266,106,0.052,0.104,0.095,0.294,0.27,0.308,0.364,0.295,76,8.2,-94.1,22.6,4,768
Randy Velarde,- - -,271,1090,23,154,81,18,0.094,0.195,0.128,0.326,0.271,0.35,0.399,0.334,97,1.5,-2.1,5.5,4,942
Ron Gant,- - -,335,1176,55,177,152,15,0.110,0.203,0.219,0.272,0.251,0.333,0.47,0.345,103,-2.7,2.1,-0.6,4,1032
Devin Mesoraco,Reds,328,1135,41,111,145,3,0.084,0.199,0.173,0.264,0.237,0.308,0.41,0.313,95,-6.6,-14,15.9,4,5666
Jeff Keppinger,- - -,818,3156,45,324,295,12,0.063,0.068,0.102,0.29,0.282,0.329,0.384,0.315,92,-21.2,-49.4,-12.6,4,3856
Olmedo Saenz,- - -,631,1582,62,183,234,2,0.080,0.192,0.202,0.29,0.263,0.337,0.465,0.345,109,-6.4,11.8,-24.3,4,937
Bobby Kielty,- - -,599,2084,53,257,253,21,0.118,0.179,0.154,0.291,0.254,0.348,0.408,0.332,101,3.2,4.4,-36.8,3.9,736
Luis Matos,- - -,508,1773,30,212,140,72,0.061,0.168,0.12,0.295,0.255,0.312,0.375,0.303,82,11,-30.1,7.5,3.9,152
Jay Gibbons,- - -,840,3182,127,364,427,2,0.070,0.139,0.192,0.266,0.26,0.314,0.452,0.328,100,-13.6,-15,-55.5,3.8,141
