Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Fernando Tatis,- - -,590,2009,60,225,254,13,0.094,0.207,0.169,0.295,0.252,0.334,0.421,0.331,97,-6.5,-14.2,-26.1,2.4,798
Jason Lane,- - -,500,1366,61,165,189,10,0.090,0.189,0.216,0.255,0.241,0.314,0.457,0.331,98,1.2,-3.2,-18.4,2.3,1397
Logan Morrison,- - -,715,2753,84,292,297,20,0.099,0.179,0.171,0.273,0.245,0.325,0.416,0.324,105,-5.3,9.5,-75.1,2.3,9205
Royce Clayton,- - -,1044,3920,54,459,338,70,0.070,0.176,0.109,0.302,0.256,0.311,0.365,0.298,72,-1.2,-143.9,34.2,2.3,226
Orlando Palmeiro,- - -,883,1867,11,204,167,25,0.096,0.088,0.084,0.293,0.272,0.347,0.355,0.314,87,0.8,-30.3,-10,2.3,28
Vance Wilson,- - -,402,1054,25,104,129,2,0.044,0.179,0.127,0.285,0.25,0.302,0.377,0.297,78,-6.9,-35.6,23.5,2.3,903
Ty Wigginton,- - -,1362,4949,169,558,594,42,0.075,0.180,0.174,0.289,0.261,0.323,0.435,0.329,98,-24.6,-36.7,-103.3,2.2,1491
Rene Rivera,- - -,399,1199,26,79,118,1,0.057,0.254,0.119,0.268,0.213,0.264,0.332,0.262,63,-6.9,-59.7,41.4,2.2,3648
Mark Teahen,- - -,831,3171,67,388,332,45,0.082,0.214,0.145,0.324,0.264,0.327,0.409,0.322,92,4.5,-26.7,-57.4,2.2,4511
Esteban German,- - -,409,1170,8,159,111,34,0.100,0.160,0.106,0.333,0.28,0.359,0.386,0.333,99,1.4,-0.2,-18,2.2,1449
Miguel Cairo,- - -,1195,3264,33,382,310,98,0.059,0.116,0.101,0.284,0.259,0.312,0.36,0.297,77,14.6,-80.2,-7.3,2.2,1412
Conor Gillaspie,- - -,469,1464,31,139,150,1,0.070,0.161,0.141,0.287,0.256,0.309,0.397,0.306,93,-1,-13.9,-13.6,2.1,9009
Einar Diaz,- - -,528,1766,16,170,160,10,0.040,0.087,0.094,0.265,0.249,0.297,0.342,0.284,66,-7.7,-84.4,45.5,2.1,378
Keith Ginter,- - -,325,1118,38,120,140,9,0.094,0.206,0.179,0.277,0.243,0.329,0.422,0.328,96,0.7,-4.7,-10.8,2.1,1500
Paul O'Neill,Yankees,279,1191,39,156,170,36,0.083,0.125,0.165,0.285,0.275,0.333,0.441,0.334,99,1.8,0.4,-20.4,2.1,1009818
Humberto Quintero,- - -,471,1423,20,95,127,1,0.033,0.207,0.093,0.285,0.234,0.267,0.327,0.261,57,-12.7,-86.8,61.3,2.1,1824
Ben Francisco,- - -,563,1771,50,199,190,30,0.082,0.184,0.165,0.287,0.253,0.323,0.418,0.326,99,0.4,-1.8,-35,2.1,4677
Marwin Gonzalez,Astros,516,1639,37,175,134,27,0.047,0.193,0.132,0.302,0.257,0.298,0.389,0.3,90,-9.5,-29.9,-4.4,2.1,5497
Craig Monroe,- - -,814,2924,115,368,433,19,0.064,0.201,0.189,0.279,0.252,0.301,0.441,0.317,91,-5.6,-38.3,-40.6,2.1,1464
Jeremy Hermida,- - -,632,2261,65,248,250,22,0.096,0.229,0.158,0.314,0.257,0.334,0.415,0.328,96,-5.5,-14.8,-38.6,2,7208
Eric Sogard,Athletics,435,1331,8,138,105,29,0.069,0.127,0.074,0.27,0.239,0.295,0.313,0.272,72,4.9,-38.1,13.5,2,7927
Jose Tabata,Pirates,509,1765,17,208,126,47,0.073,0.144,0.102,0.317,0.275,0.336,0.377,0.318,101,-7.9,-6.3,-28.5,2,2411
John Mayberry,- - -,574,1519,56,172,180,15,0.078,0.231,0.185,0.274,0.235,0.299,0.421,0.314,96,0.9,-5.9,-21.9,2,3390
Ray Lankford,- - -,432,1406,57,187,171,19,0.136,0.291,0.214,0.322,0.248,0.354,0.462,0.35,110,-4.2,15,-39.5,2,1044
Eduardo Nunez,- - -,555,1839,34,224,187,105,0.053,0.136,0.129,0.301,0.273,0.314,0.402,0.311,92,10.8,-4.9,-35.7,2,6848
Tike Redman,- - -,432,1461,17,167,117,40,0.045,0.101,0.105,0.303,0.281,0.315,0.386,0.306,81,8.3,-26.7,-1.5,2,1003
Travis Ishikawa,- - -,488,1050,23,114,137,3,0.081,0.245,0.136,0.325,0.255,0.321,0.391,0.312,91,-2.8,-13.7,0.1,2,4793
Anthony Gose,- - -,372,1252,12,155,69,57,0.081,0.282,0.107,0.339,0.24,0.309,0.348,0.292,81,7,-20.3,-2.4,2,5097
Jeremy Reed,- - -,483,1376,12,141,110,20,0.073,0.142,0.102,0.289,0.252,0.309,0.354,0.294,78,-0.5,-37.4,10.4,2,4730
Jose Lobaton,- - -,340,1063,17,95,92,0,0.094,0.229,0.105,0.284,0.226,0.302,0.331,0.283,77,-7.8,-36,20.1,1.9,4243
Dante Bichette,- - -,262,1051,35,125,139,7,0.066,0.159,0.179,0.319,0.291,0.34,0.47,0.348,104,-0.3,5,-20.4,1.9,1000946
Blake DeWitt,- - -,426,1247,21,118,135,7,0.086,0.156,0.123,0.292,0.257,0.324,0.381,0.308,87,1.7,-17.2,-3,1.9,7485
Ruben Rivera,- - -,352,1010,33,122,109,19,0.086,0.276,0.168,0.279,0.22,0.302,0.388,0.303,78,3.4,-25.2,11,1.9,1550
Doug Glanville,- - -,612,2256,35,257,166,90,0.040,0.121,0.097,0.281,0.259,0.29,0.356,0.282,64,12.8,-92,35.9,1.9,956
Augie Ojeda,- - -,502,1238,7,135,81,7,0.096,0.093,0.078,0.254,0.234,0.32,0.313,0.286,65,3.9,-50.6,29.7,1.9,297
Jason Tyner,- - -,440,1467,1,168,94,61,0.046,0.093,0.049,0.303,0.275,0.314,0.323,0.285,69,12.1,-45.9,13.8,1.9,1232
Tyler Houston,- - -,341,1009,39,107,135,3,0.056,0.213,0.183,0.318,0.274,0.318,0.456,0.331,97,0,-4.4,-10.1,1.8,689
Dan Johnson,- - -,443,1625,57,179,203,1,0.132,0.150,0.171,0.242,0.234,0.335,0.405,0.326,100,-4.9,-4.9,-31.6,1.8,2167
Adeiny Hechavarria,- - -,620,2335,14,199,177,26,0.050,0.156,0.082,0.297,0.254,0.292,0.336,0.274,71,-5.3,-84.9,30.4,1.8,10459
Andres Galarraga,- - -,483,1631,67,184,253,7,0.071,0.238,0.194,0.339,0.281,0.349,0.475,0.354,111,-12.2,11.9,-46.5,1.8,1390
Alexi Casilla,- - -,578,1893,12,225,157,80,0.069,0.130,0.084,0.279,0.247,0.302,0.331,0.283,71,15.6,-50.3,2.7,1.7,5248
Hank Conger,- - -,373,1134,31,94,114,0,0.086,0.235,0.145,0.268,0.221,0.294,0.366,0.292,86,-8.7,-26.9,5.7,1.7,2505
Marty Cordova,- - -,324,1215,43,144,155,5,0.079,0.191,0.173,0.305,0.269,0.335,0.442,0.338,105,-5.4,0.9,-25.7,1.7,132
John Baker,- - -,359,1228,14,124,120,2,0.103,0.219,0.094,0.315,0.247,0.33,0.341,0.299,82,-3,-28.2,7.8,1.7,4756
C.J. Cron,Angels,308,1102,43,116,157,5,0.046,0.198,0.186,0.298,0.267,0.308,0.453,0.327,110,-6.7,5.9,-25.7,1.7,12546
Casey Kotchman,- - -,939,3412,71,322,388,14,0.078,0.099,0.125,0.271,0.26,0.326,0.385,0.313,93,-34.4,-64.8,-31.9,1.7,1930
DeWayne Wise,- - -,576,1184,31,149,115,55,0.039,0.207,0.153,0.264,0.228,0.264,0.381,0.279,65,12.2,-38.5,14.2,1.7,1554
Mo Vaughn,- - -,327,1366,65,170,204,2,0.111,0.255,0.208,0.314,0.261,0.356,0.469,0.355,112,-5.4,15.9,-44.5,1.6,899
Jose Offerman,- - -,508,1767,27,230,156,15,0.118,0.143,0.109,0.286,0.253,0.342,0.362,0.316,86,-3.6,-34.3,-10.4,1.6,205
Larry Bigbie,- - -,392,1367,31,164,137,25,0.087,0.221,0.128,0.329,0.267,0.331,0.395,0.319,92,10.9,-1.9,-28.3,1.6,128
Jemile Weeks,- - -,260,1068,4,121,62,41,0.073,0.145,0.097,0.297,0.254,0.316,0.352,0.296,86,3.8,-13.8,-6.2,1.6,2498
Mark Quinn,Royals,276,1101,39,142,149,16,0.047,0.159,0.188,0.303,0.279,0.32,0.466,0.337,93,-1.3,-10.3,-11.7,1.6,621
Tom Goodwin,- - -,494,1387,12,205,112,117,0.089,0.184,0.088,0.308,0.253,0.32,0.342,0.297,69,17.9,-38.5,8.2,1.6,1114
Eduardo Perez,- - -,406,1010,45,125,145,6,0.098,0.178,0.206,0.272,0.256,0.339,0.462,0.347,110,-6.7,5.7,-24.1,1.6,1409
Aaron Guiel,- - -,307,1099,35,151,128,8,0.076,0.198,0.168,0.28,0.246,0.322,0.414,0.322,89,1.4,-13.5,-8.5,1.5,1503
Ryan Flaherty,Orioles,429,1227,35,126,124,6,0.073,0.246,0.143,0.263,0.216,0.284,0.359,0.283,74,4.3,-32.2,5.9,1.5,7888
Jeff Baker,- - -,748,1958,54,244,235,14,0.071,0.241,0.167,0.327,0.264,0.318,0.432,0.326,95,-7.4,-18.8,-27.7,1.5,2073
Eric Owens,- - -,506,1753,16,211,136,74,0.066,0.102,0.081,0.299,0.274,0.323,0.355,0.301,81,-0.5,-43.8,0.7,1.5,534
Rickey Henderson,- - -,348,1290,19,192,95,72,0.169,0.172,0.102,0.27,0.228,0.364,0.33,0.323,94,7.2,-3.6,-24.8,1.5,194
Tyler Colvin,- - -,441,1316,49,164,178,14,0.059,0.267,0.207,0.294,0.239,0.287,0.446,0.315,87,4.6,-14.2,-12,1.4,5310
Andres Blanco,- - -,456,1177,15,127,96,4,0.057,0.143,0.124,0.3,0.264,0.317,0.388,0.309,86,-6.7,-26.6,1.8,1.4,1907
Chris Richard,- - -,280,1006,34,132,122,18,0.081,0.182,0.19,0.282,0.255,0.323,0.445,0.329,100,-4.9,-4.9,-15.2,1.4,163
Brook Fordyce,- - -,406,1335,28,120,116,4,0.056,0.152,0.124,0.28,0.252,0.301,0.376,0.297,77,-4.5,-42.9,11.9,1.4,138
Nolan Reimold,- - -,480,1556,56,179,174,18,0.096,0.229,0.176,0.288,0.246,0.323,0.422,0.325,99,-1.7,-3.5,-34.8,1.4,3441
Reggie Willits,Angels,414,1014,0,146,58,40,0.127,0.167,0.044,0.319,0.258,0.356,0.302,0.307,84,7.9,-11.3,-9.7,1.3,5590
Steve Cox,Devil Rays,372,1380,39,146,158,8,0.093,0.172,0.157,0.295,0.262,0.341,0.42,0.334,100,-2.4,-2.1,-31.3,1.3,1200
Jay Bell,- - -,382,1356,33,160,128,7,0.119,0.158,0.146,0.274,0.247,0.342,0.393,0.326,88,0,-20.8,-9.4,1.3,48
Mike Carp,- - -,318,1000,27,97,127,2,0.090,0.243,0.16,0.317,0.254,0.33,0.414,0.328,107,-4.7,4.1,-24.3,1.3,7480
Robbie Grossman,- - -,289,1153,22,127,100,17,0.120,0.250,0.121,0.334,0.254,0.347,0.375,0.323,104,0.6,6.2,-32.1,1.3,5254
Juan Francisco,- - -,404,1091,48,110,152,2,0.074,0.344,0.203,0.323,0.236,0.297,0.439,0.32,100,-2.6,-2.8,-18.6,1.3,6978
Chris Owings,Diamondbacks,377,1411,15,150,123,47,0.048,0.218,0.121,0.32,0.254,0.294,0.376,0.29,74,8.8,-33.7,1.3,1.2,10030
Roger Bernadina,- - -,548,1480,28,159,121,59,0.082,0.213,0.118,0.288,0.236,0.307,0.354,0.295,81,8.9,-24,-9.9,1.2,6421
Danny Bautista,- - -,500,1689,37,195,209,22,0.063,0.129,0.142,0.315,0.29,0.338,0.432,0.333,93,-1.3,-16.8,-26.5,1.2,47
Chris Getz,- - -,459,1574,3,176,111,89,0.071,0.110,0.057,0.281,0.25,0.309,0.307,0.278,66,12.1,-50,9.3,1.2,3388
Josh Barfield,- - -,309,1075,16,133,112,35,0.041,0.175,0.112,0.307,0.264,0.295,0.375,0.29,75,10.7,-23.2,-0.9,1.2,3622
Eric Karros,- - -,572,2197,73,223,293,13,0.080,0.163,0.162,0.275,0.255,0.317,0.418,0.319,93,-7.1,-28,-32.9,1.1,659
Tony Womack,- - -,808,3230,23,438,224,169,0.051,0.115,0.081,0.299,0.269,0.31,0.351,0.292,69,29.1,-100.5,5.5,1.1,78
Nick Castellanos,Tigers,423,1639,44,147,197,3,0.063,0.246,0.165,0.329,0.265,0.311,0.43,0.319,100,-12,-11.2,-31.6,1.1,11737
Desi Relaford,- - -,702,2471,34,294,234,64,0.094,0.146,0.109,0.277,0.245,0.327,0.353,0.303,78,7.9,-61.6,-10.8,1,1096
Mark Sweeney,- - -,809,1387,31,144,170,9,0.120,0.218,0.148,0.304,0.247,0.341,0.395,0.324,91,-0.8,-16.5,-19,1,1408
Jayson Nix,- - -,466,1465,38,143,130,36,0.074,0.253,0.133,0.264,0.212,0.282,0.345,0.279,68,5.1,-50.6,11.8,1,3790
Willie Bloomquist,- - -,1055,3136,18,398,225,133,0.060,0.158,0.073,0.317,0.269,0.316,0.342,0.293,78,13.7,-72.5,-21.9,1,1066
Jesus Flores,Nationals,311,1014,23,84,127,1,0.057,0.235,0.133,0.297,0.241,0.289,0.375,0.289,73,-7,-39.9,17.3,1,4166
Jason Kubel,- - -,1036,3883,140,442,564,12,0.091,0.215,0.185,0.304,0.262,0.33,0.448,0.336,105,-19.5,6.6,-125,1,2161
Brady Anderson,- - -,306,1220,28,143,100,32,0.139,0.166,0.13,0.254,0.226,0.345,0.356,0.315,88,0.1,-17.6,-14.5,0.9,364
Matt Treanor,- - -,468,1482,18,120,129,5,0.099,0.193,0.084,0.268,0.221,0.313,0.305,0.281,67,-5.8,-66,26.2,0.9,2265
Donovan Solano,- - -,370,1168,9,99,99,11,0.056,0.169,0.074,0.305,0.257,0.306,0.331,0.283,77,-2.3,-32.6,5.6,0.9,8623
Brendan Harris,- - -,529,1876,33,208,167,5,0.070,0.183,0.125,0.301,0.256,0.314,0.381,0.308,85,-3.3,-36.9,-17.4,0.9,2178
Chris Gomez,- - -,754,2291,27,235,220,14,0.060,0.104,0.098,0.297,0.275,0.322,0.373,0.307,83,-12,-60.5,-8.5,0.9,1208
David Newhan,- - -,381,1051,21,141,114,27,0.075,0.189,0.126,0.303,0.258,0.318,0.384,0.308,84,8.5,-12.8,-13.9,0.9,2009
Troy O'Leary,- - -,432,1447,34,163,185,5,0.081,0.157,0.148,0.283,0.255,0.319,0.404,0.314,84,-5.3,-36.3,-5.1,0.8,789
J.P. Arencibia,- - -,467,1687,80,169,245,2,0.050,0.287,0.2,0.248,0.212,0.258,0.412,0.29,78,-4.4,-46.2,-0.5,0.8,697
Chris Burke,- - -,477,1443,23,176,111,40,0.078,0.168,0.12,0.277,0.239,0.315,0.359,0.299,76,7.1,-36.9,-2.5,0.8,2164
Ricky Ledee,- - -,725,1940,53,232,266,22,0.108,0.203,0.165,0.278,0.239,0.323,0.404,0.317,87,3.5,-29.8,-28.8,0.8,1407
Kelly Stinnett,- - -,386,1189,34,111,123,4,0.077,0.250,0.139,0.289,0.231,0.303,0.37,0.293,70,-2.6,-49.9,17.9,0.8,356
Josh Thole,- - -,478,1499,9,99,111,2,0.090,0.143,0.064,0.28,0.242,0.313,0.306,0.278,73,-13.9,-61.7,21.4,0.7,9689
Ryan Spilborghs,Rockies,619,1769,42,222,218,31,0.097,0.185,0.151,0.316,0.272,0.345,0.423,0.338,94,-5.1,-17.5,-30.2,0.7,4521
Aaron Hicks,- - -,370,1289,28,139,109,29,0.096,0.213,0.123,0.266,0.223,0.299,0.346,0.286,76,4.9,-30.3,-5.4,0.7,5297
Will Middlebrooks,- - -,325,1195,43,114,152,10,0.053,0.260,0.164,0.275,0.228,0.273,0.392,0.289,78,-2.6,-33,1.3,0.7,7002
Alex Presley,- - -,379,1239,26,127,91,25,0.053,0.188,0.13,0.295,0.253,0.295,0.382,0.297,87,3.1,-16.2,-16.5,0.7,5305
Todd Greene,- - -,347,1031,45,109,135,0,0.041,0.207,0.196,0.283,0.256,0.289,0.452,0.315,81,-3.8,-28.2,-0.7,0.6,1450
John McDonald,- - -,1082,2630,28,274,210,34,0.045,0.143,0.09,0.263,0.232,0.273,0.322,0.264,56,-0.1,-142.1,59.6,0.6,395
Jose Macias,- - -,654,1785,25,199,171,43,0.052,0.136,0.113,0.286,0.256,0.298,0.37,0.293,73,-1.4,-61.9,7.8,0.6,476
Ryan Garko,- - -,463,1752,55,190,250,0,0.071,0.155,0.159,0.3,0.275,0.347,0.434,0.343,108,-19.3,-1.4,-52.5,0.6,6319
Chris Woodward,- - -,646,1867,33,210,189,9,0.072,0.211,0.127,0.289,0.239,0.297,0.366,0.29,70,1.9,-69.5,10.9,0.6,1329
Brent Mayne,- - -,514,1762,18,152,185,7,0.094,0.138,0.082,0.294,0.261,0.33,0.343,0.295,63,-8.9,-90.9,36.8,0.5,614
Paul Janish,- - -,459,1277,7,123,84,7,0.075,0.142,0.073,0.248,0.216,0.284,0.289,0.26,54,0.5,-68.6,33.6,0.5,7412
Chris Parmelee,- - -,311,1011,30,89,98,1,0.078,0.236,0.157,0.302,0.248,0.313,0.405,0.316,98,-5,-7.3,-20.8,0.5,2554
Sandy Alomar Jr.,- - -,481,1559,26,147,171,3,0.038,0.096,0.107,0.282,0.268,0.299,0.375,0.294,70,-9.1,-69.4,20.8,0.5,221
Wily Mo Pena,- - -,599,1845,84,211,240,12,0.060,0.303,0.195,0.32,0.25,0.303,0.445,0.322,91,-0.7,-20.8,-35.3,0.4,344
Ricky Gutierrez,- - -,427,1700,25,197,171,13,0.081,0.106,0.098,0.297,0.276,0.344,0.374,0.321,91,-6.9,-26.3,-24.3,0.4,387
Brandon Barnes,- - -,465,1253,19,131,100,22,0.052,0.282,0.114,0.332,0.242,0.289,0.356,0.285,68,1.5,-45.7,10.1,0.4,629
Jace Peterson,- - -,294,1063,13,103,81,19,0.103,0.195,0.097,0.29,0.237,0.319,0.334,0.29,79,0.4,-25,-4.4,0.4,12325
Warren Morris,- - -,293,1099,11,111,91,13,0.083,0.118,0.092,0.284,0.256,0.32,0.349,0.299,74,-5.2,-42.4,8.9,0.4,1424
Nick Green,- - -,418,1220,17,147,103,6,0.066,0.234,0.11,0.302,0.236,0.303,0.346,0.29,72,1.4,-41.9,4.1,0.3,1502
Joaquin Arias,- - -,474,1118,7,112,95,13,0.033,0.134,0.085,0.301,0.265,0.293,0.35,0.28,76,2.3,-29.1,-2.9,0.3,3817
Justin Smoak,- - -,824,2887,106,285,327,3,0.106,0.239,0.168,0.262,0.223,0.308,0.392,0.309,95,-22.7,-39.4,-53.6,0.3,9054
Al Martin,- - -,335,1105,25,141,104,21,0.081,0.176,0.145,0.305,0.265,0.329,0.41,0.319,92,-3.1,-14,-20.5,0.3,1167
Matthew LeCroy,- - -,476,1539,60,146,218,0,0.080,0.216,0.18,0.299,0.26,0.326,0.44,0.332,99,-12.2,-15.4,-35.5,0.2,1456
Chuck Knoblauch,- - -,319,1393,20,182,92,72,0.095,0.108,0.099,0.271,0.251,0.335,0.35,0.309,83,6.7,-22.8,-22.6,0.2,609
Mitch Maier,Royals,360,1117,10,122,93,15,0.100,0.199,0.096,0.309,0.248,0.327,0.344,0.302,82,-2.9,-27.7,-8.7,0.2,5588
Skip Schumaker,- - -,1149,3582,28,416,284,26,0.078,0.133,0.086,0.317,0.278,0.337,0.364,0.312,93,-8.1,-38.5,-70,0.2,3704
Johnny Giavotella,- - -,353,1334,14,148,125,14,0.049,0.130,0.104,0.286,0.256,0.295,0.361,0.287,80,1.3,-30.7,-12.4,0.1,6740
Timo Perez,- - -,603,1825,26,187,185,23,0.050,0.087,0.113,0.282,0.269,0.308,0.382,0.301,80,-8.6,-55.3,-4.3,0.1,891
Jolbert Cabrera,- - -,578,1490,18,183,157,35,0.048,0.156,0.11,0.298,0.26,0.308,0.369,0.297,78,-3.4,-46.2,-3.6,0.1,373
Luis Rodriguez,- - -,407,1123,10,100,80,6,0.098,0.098,0.086,0.255,0.238,0.314,0.324,0.287,75,-3.4,-37.7,1.2,0.1,2364
Jose Vizcaino,- - -,752,1971,15,205,155,15,0.061,0.117,0.086,0.3,0.269,0.315,0.355,0.293,71,-3,-77.4,11.8,0.1,577
Don Kelly,- - -,585,1220,23,148,98,16,0.075,0.140,0.105,0.251,0.23,0.294,0.334,0.281,71,4,-36.9,-2.5,0.1,2216
Joe McEwing,- - -,592,1366,16,147,113,26,0.052,0.192,0.097,0.292,0.241,0.29,0.339,0.276,64,0.8,-62.7,18.2,0.1,887
Ruben Sierra,- - -,524,1773,67,197,275,10,0.067,0.156,0.18,0.276,0.262,0.309,0.442,0.32,93,4.3,-11,-49.3,0.1,1099
Rey Ordonez,- - -,395,1350,8,110,122,5,0.059,0.097,0.084,0.268,0.246,0.292,0.33,0.266,59,-0.4,-72.8,27.6,0,889
Daniel Descalso,- - -,729,1878,23,205,171,20,0.089,0.183,0.11,0.29,0.242,0.315,0.352,0.292,78,9.9,-37.9,-20.1,-0.1,8392
Andy LaRoche,- - -,404,1336,22,133,113,8,0.091,0.156,0.111,0.255,0.226,0.304,0.336,0.287,73,-3.2,-48.3,5.1,-0.1,6444
Wes Helms,- - -,1205,3014,74,278,372,3,0.073,0.227,0.148,0.311,0.256,0.318,0.404,0.315,87,-12,-60,-38.5,-0.1,94
Robert Andino,- - -,481,1491,18,159,97,24,0.076,0.210,0.085,0.289,0.233,0.294,0.318,0.275,65,0.9,-61.6,10.9,-0.1,4900
Lastings Milledge,- - -,433,1659,33,166,167,40,0.063,0.173,0.125,0.312,0.269,0.328,0.395,0.318,92,-6.3,-23.6,-31.3,-0.1,6441
Angel Berroa,- - -,746,2807,46,329,254,50,0.042,0.164,0.116,0.297,0.258,0.303,0.374,0.296,73,2.2,-94.3,-2.8,-0.1,591
Neifi Perez,- - -,984,3676,38,402,326,33,0.039,0.089,0.101,0.279,0.263,0.291,0.364,0.283,57,-2.1,-203.3,78,-0.1,620
Robb Quinlan,Angels,458,1196,25,134,121,16,0.058,0.156,0.125,0.312,0.276,0.322,0.401,0.317,90,-6.2,-19.7,-22.8,-0.2,1779
Luis Rivas,- - -,648,2290,34,286,201,81,0.055,0.138,0.12,0.287,0.257,0.303,0.377,0.298,77,5.9,-61.3,-18.9,-0.2,753
Kevin Frandsen,- - -,514,1363,15,134,110,7,0.047,0.094,0.09,0.277,0.258,0.312,0.348,0.294,79,-8.8,-42.5,-3.5,-0.3,7528
Jordan Schafer,- - -,463,1472,12,171,85,103,0.099,0.260,0.079,0.314,0.228,0.308,0.307,0.278,71,13.4,-35.9,-13.4,-0.3,9883
Jonathan Herrera,- - -,490,1345,10,136,89,18,0.071,0.146,0.07,0.301,0.259,0.316,0.329,0.288,65,0.5,-55.1,10.5,-0.3,4182
Luis Alicea,- - -,346,1310,11,157,118,11,0.087,0.126,0.095,0.309,0.274,0.342,0.369,0.318,81,-2.7,-33.8,-14.8,-0.4,584
Cory Sullivan,- - -,476,1272,10,156,97,32,0.074,0.199,0.11,0.336,0.271,0.327,0.381,0.311,77,1.5,-35.7,-10.4,-0.4,1940
Marquis Grissom,- - -,730,2850,96,348,366,47,0.049,0.160,0.161,0.283,0.262,0.299,0.424,0.311,86,0.3,-54.4,-45.6,-0.5,652
John Flaherty,- - -,397,1375,30,120,142,3,0.044,0.153,0.129,0.272,0.246,0.281,0.376,0.284,67,-6.4,-64.7,12.2,-0.5,1206
John Mabry,- - -,691,1599,55,167,213,2,0.083,0.232,0.172,0.283,0.24,0.307,0.412,0.311,86,-7,-37.1,-22.3,-0.5,1381
Paul Bako,- - -,620,1891,19,156,148,2,0.097,0.238,0.087,0.288,0.22,0.299,0.307,0.269,57,-4.3,-109.9,41.2,-0.6,676
Aaron Miles,- - -,932,3064,19,347,229,30,0.053,0.096,0.072,0.305,0.281,0.32,0.352,0.297,75,7.9,-90.3,-15.9,-0.6,1844
Josh Rutledge,- - -,333,1088,20,146,102,23,0.057,0.224,0.136,0.326,0.262,0.312,0.397,0.311,80,7.9,-17.2,-20.8,-0.6,11167
Wilson Valdez,- - -,439,1240,6,131,107,17,0.056,0.140,0.076,0.273,0.236,0.281,0.313,0.262,58,2.5,-60.7,15.9,-0.6,1863
Ramon Martinez,- - -,718,2017,24,198,223,9,0.075,0.123,0.102,0.287,0.262,0.32,0.364,0.3,78,-7,-63.2,-9.4,-0.6,1120
Jeff Mathis,- - -,707,2273,45,204,234,9,0.066,0.277,0.111,0.257,0.197,0.254,0.308,0.248,50,0.9,-135.5,55.2,-0.7,3448
Dayan Viciedo,White Sox,483,1798,66,200,211,2,0.053,0.216,0.17,0.291,0.254,0.298,0.424,0.315,96,-12.2,-20.4,-44.5,-0.7,3917
Lee Stevens,- - -,391,1546,62,187,227,3,0.114,0.227,0.201,0.277,0.241,0.329,0.442,0.329,92,-2.5,-17.7,-39.7,-0.7,796
Quinton McCracken,- - -,530,1234,7,143,91,19,0.081,0.154,0.096,0.305,0.258,0.32,0.355,0.298,72,-0.4,-44.1,-4.6,-0.7,1377
Alex Sanchez,- - -,427,1651,6,193,111,122,0.046,0.141,0.076,0.344,0.296,0.33,0.372,0.31,87,-0.5,-28.6,-34.3,-0.7,708
Greg Norton,- - -,841,1860,62,206,248,8,0.119,0.226,0.17,0.298,0.25,0.341,0.42,0.333,93,-0.6,-16.9,-53.1,-0.8,1388
Ron Coomer,- - -,375,1268,31,114,167,2,0.064,0.128,0.134,0.28,0.263,0.312,0.397,0.308,80,-3.1,-36.2,-15.9,-0.8,816
Josh Wilson,- - -,431,1190,10,104,84,14,0.045,0.208,0.089,0.286,0.229,0.28,0.319,0.269,63,-1.4,-54.2,5.5,-0.8,2102
Oswaldo Arcia,- - -,288,1075,44,103,131,3,0.071,0.315,0.187,0.31,0.235,0.298,0.422,0.313,96,-2,-7.2,-38.2,-1,10306
Mike Jacobs,- - -,569,2140,100,248,312,5,0.079,0.230,0.22,0.287,0.253,0.313,0.473,0.335,100,-12.3,-12.5,-69.1,-1.1,2231
Ronny Cedeno,- - -,875,2792,40,265,239,39,0.052,0.203,0.108,0.299,0.245,0.289,0.353,0.28,68,-4.4,-115.1,14,-1.1,2179
Carlos Febles,Royals,372,1339,14,179,91,46,0.084,0.149,0.083,0.283,0.244,0.322,0.328,0.295,68,2,-53.1,-4.8,-1.1,598
Cody Asche,Phillies,371,1287,31,124,125,5,0.071,0.241,0.145,0.3,0.24,0.298,0.385,0.298,86,-0.9,-21.5,-28.7,-1.1,11997
Denny Hocking,- - -,509,1476,12,157,130,13,0.090,0.173,0.091,0.311,0.26,0.326,0.35,0.303,76,-0.3,-45.2,-16.7,-1.1,730
Avisail Garcia,- - -,409,1551,39,182,173,18,0.062,0.238,0.127,0.32,0.258,0.31,0.385,0.304,90,-6.3,-23.7,-38.2,-1.2,5760
Gerald Williams,- - -,402,1212,30,166,125,34,0.054,0.165,0.14,0.269,0.242,0.287,0.382,0.292,69,-0.8,-49.7,-4.5,-1.2,1395
Felix Pie,- - -,425,1082,17,132,99,21,0.065,0.210,0.123,0.3,0.246,0.295,0.369,0.293,73,2.9,-33.3,-13.4,-1.2,3751
Abraham Nunez,- - -,897,2391,17,252,184,24,0.087,0.154,0.075,0.289,0.246,0.314,0.321,0.284,66,-6.2,-111.5,19.2,-1.2,1420
Brayan Pena,- - -,638,1950,23,136,164,6,0.054,0.110,0.092,0.28,0.259,0.299,0.351,0.286,75,-28.5,-85.8,10.8,-1.3,3231
Matt LaPorta,Indians,291,1068,31,106,120,3,0.077,0.209,0.155,0.276,0.238,0.301,0.393,0.306,90,-10.5,-23,-25.8,-1.4,2280
